x,T,flux
0,1,0.0025
1,0.99,0.0025
2,0.98,0.0025
3,0.97,0.0025
4,0.96,0.0025
5,0.95,0.0025
6,0.94,0.0025
7,0.93,0.0025
8,0.92,0.0025
9,0.91,0.0025
10,0.9,0.0025
11,0.89,0.0025
12,0.88,0.0025
13,0.87,0.0025
14,0.86,0.0025
15,0.85,0.0025
16,0.84,0.0025
17,0.83,0.0025
18,0.82,0.0025
19,0.81,0.0025
20,0.8,0.0025
21,0.79,0.0025
22,0.78,0.0025
23,0.77,0.0025
24,0.76,0.0025
25,0.75,0.0025
26,0.74,0.0025
27,0.73,0.0025
28,0.72,0.0025
29,0.71,0.0025
30,0.7,0.0025
31,0.69,0.0025
32,0.68,0.0025
33,0.67,0.0025
34,0.66,0.0025
35,0.65,0.0025
36,0.64,0.0025
37,0.63,0.0025
38,0.62,0.0025
39,0.61,0.0025
40,0.6,0.0025
41,0.59,0.0025
42,0.58,0.0025
43,0.57,0.0025
44,0.56,0.0025
45,0.55,0.0025
46,0.54,0.0025
47,0.53,0.0025
48,0.52,0.0025
49,0.51,0.0025
50,0.5,0.0025
51,0.49,0.0025
52,0.48,0.0025
53,0.47,0.0025
54,0.46,0.0025
55,0.45,0.0025
56,0.44,0.0025
57,0.43,0.0025
58,0.42,0.0025
59,0.41,0.0025
60,0.4,0.0025
61,0.39,0.0025
62,0.38,0.0025
63,0.37,0.0025
64,0.36,0.0025
65,0.35,0.0025
66,0.34,0.0025
67,0.33,0.0025
68,0.32,0.0025
69,0.31,0.0025
70,0.3,0.0025
71,0.29,0.0025
72,0.28,0.0025
73,0.27,0.0025
74,0.26,0.0025
75,0.25,0.0025
76,0.24,0.0025
77,0.23,0.0025
78,0.22,0.0025
79,0.21,0.0025
80,0.2,0.0025
81,0.19,0.0025
82,0.18,0.0025
83,0.17,0.0025
84,0.16,0.0025
85,0.15,0.0025
86,0.14,0.0025
87,0.13,0.0025
88,0.12,0.0025
89,0.11,0.0025
90,0.1,0.0025
91,0.09,0.0025
92,0.08,0.0025
93,0.07,0.0025
94,0.06,0.0025
95,0.05,0.0025
96,0.04,0.0025
97,0.03,0.0025
98,0.02,0.0025
99,0.01,0.0025
100,0,0.0025
